popularity,acousticness,danceability,instrumentalness,speechiness,liveness,energy,loudness,valence,duration_ms,tempo,key,mode
55,0.639,0.811,0,0.0291,0.224,0.365,-6.943,0.539,181350,97.941,7,0
55,0.0869,0.401,0.779,0.0252,0.11,0.505,-8.574,0.287,266667,97.796,5,1
55,0.628,0.559,0,0.229,0.336,0.631,-11.184,0.929,119987,173.172,8,0
55,0.26,0.642,0.147,0.13,0.115,0.551,-8.411,0.145,234228,113.079,11,0
55,0.325,0.831,0,0.335,0.0639,0.574,-7.107,0.911,166385,130.001,7,1
55,0.239,0.583,0,0.0304,0.111,0.459,-8.422,0.357,169506,99.809,9,0
55,0.000278,0.269,0,0.0362,0.609,0.666,-6.048,0.226,329080,171.722,6,1
56,0.0704,0.827,0.0129,0.469,0.095,0.351,-11.594,0.624,54101,77.023,11,1
56,0.714,0.24,0.0665,0.335,0.522,0.82,-5.96,0.391,141024,85.501,6,1
56,0.974,0.417,0.172,0.0409,0.631,0.362,-11.109,0.12,209081,174.004,9,1
56,0.383,0.581,0,0.0298,0.322,0.52,-5.347,0.643,251627,79.565,4,1
56,0.0267,0.897,4.47E-06,0.219,0.119,0.628,-4.693,0.636,117995,147.997,1,0
56,0.222,0.784,0,0.245,0.377,0.711,-2.465,0.461,169459,148.111,2,1
56,0.222,0.495,0,0.028,0.0882,0.591,-5.599,0.266,202480,82.009,10,1
56,0.0482,0.739,0,0.0449,0.156,0.781,-4.584,0.164,191489,93.981,2,1
56,0.286,0.598,0,0.452,0.0875,0.605,-4.92,0.513,194792,159.517,7,0
56,0.892,0.444,2.13E-05,0.0352,0.839,0.21,-13.5,0.246,319853,140.939,3,1
56,0.366,0.529,0,0.0378,0.296,0.521,-5.277,0.438,204773,173.688,7,1
56,0.208,0.829,0,0.364,0.0733,0.577,-10.602,0.574,186149,85.978,11,0
56,0.333,0.497,3.11E-06,0.0296,0.108,0.434,-5.73,0.266,244267,115.749,0,1
56,0.0388,0.855,2.03E-05,0.118,0.1,0.653,-6.055,0.244,179747,144,10,0
56,0.159,0.615,0,0.0883,0.191,0.723,-3.764,0.201,204356,112.722,5,0
56,0.0716,0.711,0.0045,0.0341,0.262,0.796,-5.87,0.901,208733,109.991,10,1
56,0.336,0.621,0,0.0454,0.157,0.61,-8.455,0.424,189987,139.001,5,1
56,0.477,0.434,0,0.322,0.101,0.424,-12.56,0.205,203912,79.982,8,1
56,0.0533,0.781,0,0.281,0.381,0.593,-6.038,0.602,157975,158.019,1,1
56,0.427,0.518,0,0.0264,0.117,0.404,-7.844,0.348,393148,154.103,7,1
57,0.649,0.863,0,0.363,0.102,0.669,-4.613,0.52,213750,127.962,2,1
57,0.619,0.585,0,0.425,0.132,0.756,-4.19,0.838,163019,158.317,8,1
57,0.0597,0.373,0,0.062,0.0715,0.703,-5.803,0.221,240267,123.909,4,1
57,0.023,0.526,0,0.0313,0.0948,0.85,-4.47,0.338,184173,141.973,10,0
57,0.00441,0.549,0,0.0366,0.423,0.754,-6.011,0.443,164455,110.046,9,1
57,0.0406,0.475,0,0.389,0.134,0.679,-7.419,0.596,212071,82.616,1,1
57,0.224,0.809,0,0.352,0.638,0.845,-5.843,0.67,176990,90.015,10,0
57,0.481,0.776,1.90E-05,0.326,0.124,0.812,-4.772,0.71,176471,136.051,2,1
57,0.631,0.881,0,0.0901,0.0986,0.581,-5.162,0.876,163567,78.508,5,1
57,0.128,0.626,2.85E-06,0.096,0.106,0.42,-8.421,0.11,187499,87.939,2,1
57,0.0388,0.875,0,0.299,0.127,0.44,-8.701,0.311,128174,100.519,11,0
57,0.00303,0.565,0,0.0417,0.0779,0.825,-4.245,0.609,218733,160.003,10,1
57,0.0193,0.827,0,0.351,0.0591,0.623,-6.199,0.361,352977,131.888,4,0
57,0.554,0.641,3.47E-05,0.0366,0.11,0.294,-13.337,0.89,166533,132.709,0,1
57,0.0947,0.888,0,0.357,0.0949,0.73,-4.644,0.65,210521,125.965,1,1
